,TLC,normalized_price
0,4.0,0.013522108842592284
1,12.0,0.00754663487366812
2,13.0,0.024297676303602245
3,24.0,0.024244600100758313
4,41.0,0.02366472602702264
5,42.0,0.013210876854352795
6,43.0,0.3597898942717448
7,45.0,0.29962324845765326
8,48.0,0.08313840757542507
9,50.0,1.0
10,68.0,0.4646407485618725
11,74.0,0.013659600964615399
12,75.0,0.028824736326586074
13,79.0,0.026190740382810922
14,87.0,0.03583359949193535
15,88.0,0.5846796468131791
16,90.0,0.01612197560394809
17,100.0,0.1536134855958677
18,107.0,0.10791122204875449
19,113.0,0.07823175956985631
20,114.0,0.0715633250665648
21,116.0,0.009569812065073879
22,125.0,0.09095762792991247
23,127.0,0.10713183061662229
24,137.0,0.10756696020703654
25,140.0,0.03440655432292841
26,141.0,0.05236949353626726
27,142.0,0.05313255404310732
28,143.0,0.22670309611825262
29,144.0,0.015092498948459042
30,148.0,0.11015139545593672
31,151.0,0.08359517244311213
32,152.0,0.0
33,153.0,0.008326477791023338
34,158.0,0.206897280926455
35,161.0,0.1501504906952776
36,162.0,0.14750996854710705
37,163.0,0.22119953618056146
38,164.0,0.45565189560109376
39,166.0,0.5305193163382075
40,170.0,0.1683235698904049
41,186.0,0.2988004239635678
42,202.0,0.39586879507760303
43,209.0,0.01148249798244382
44,211.0,0.024882090264691903
45,224.0,0.0077317569738818235
46,229.0,0.35715923735309174
47,230.0,0.05998121312563869
48,231.0,0.028600541809225544
49,232.0,0.7259021660074876
50,233.0,0.2609835841526366
51,234.0,0.14752964311397318
52,236.0,0.053828690343507034
53,237.0,0.37187762590652357
54,238.0,0.039894537649988446
55,239.0,0.0151211351036082
56,243.0,0.03309146884998475
57,244.0,0.045090714489766114
58,246.0,0.38714584685981557
59,249.0,0.021288122181724687
60,261.0,0.06581649783150455
61,262.0,0.18141134690400695
62,263.0,0.017985184873096444
63,120.0,0.15493710581281617
